FID,F1,经度,纬度,WGS84经度,WGS84纬度,民族
287,四川省攀枝花市米易县新山傈僳族乡新山村,102.174049999999990,26.843553000000000,102.165910999999990,26.841237000000000,傈僳族
288,四川省绵阳市平武县白马藏族乡伊瓦岱惹村,104.313248000000000,32.758797999999999,104.304211000000000,32.754893000000003,藏族
289,四川省绵阳市平武县白马藏族乡亚者造祖村,104.195535000000010,32.843373999999997,104.186528000000000,32.839455000000001,藏族
290,四川省绵阳市平武县白马藏族乡厄哩村,104.281318000000000,32.765518000000000,104.272418000000000,32.761401999999997,藏族
291,四川省绵阳市平武县豆叩镇银岭村,104.619754000000000,32.137098999999999,104.610822000000000,32.133507999999999,羌族
292,四川省绵阳市平武县平通镇牛飞村,104.677372000000010,32.032552000000003,104.668263000000000,32.028917999999997,羌族
293,四川省绵阳市平武县虎牙藏族乡上游村,104.058066000000000,32.534035000000003,104.049074000000000,32.529927999999998,藏族
294,四川省绵阳市北川羌族自治县片口乡保尔村,104.157670000000000,32.120977000000003,104.148707000000000,32.116849000000002,羌族
295,四川省绵阳市北川羌族自治县桃龙藏族乡大鹏村,104.178214000000000,32.010993999999997,104.169292000000000,32.006903000000001,藏族|羌族
296,四川省绵阳市北川羌族自治县青片乡高峰村,104.055476000000000,32.001334000000000,104.046544000000000,31.997181000000001,羌族
297,四川省广元市青川县前进乡古城村,105.083564000000000,32.473260000000003,105.073570000000000,32.469569999999997,
298,四川省广元市青川县蒿溪回族乡地坪村,105.075121999999990,32.541795000000000,105.065098000000010,32.538181000000002,回族
299,四川省乐山市金口河区和平彝族乡迎春村,103.088234000000000,29.232534000000001,103.079778000000000,29.228988999999999,彝族
300,四川省乐山市金口河区共安彝族乡林丰村,102.991923000000000,29.169733999999998,102.983718000000000,29.166691000000000,彝族
301,四川省宜宾市珙县上罗镇团胜村,104.809844000000000,28.145249000000000,104.800659000000000,28.142949000000002,
302,四川省宜宾市珙县观斗苗族乡白仁村,104.948989000000000,28.016638000000000,104.939725000000000,28.014527999999999,苗族
303,四川省宜宾市珙县玉和苗族乡凤凰社区,104.851929000000000,28.228359999999999,104.842797000000000,28.226009000000001,苗族
304,四川省宜宾市筠连县镇舟镇马家村,104.714490000000000,27.975760000000001,104.705361999999990,27.973503000000001,满族|瑶族|朝鲜族
305,四川省阿坝藏族羌族自治州马尔康市沙尔宗镇从恩村,102.185042999999990,32.169516000000002,102.176697000000000,32.166057000000002,藏族|羌族
306,四川省阿坝藏族羌族自治州汶川县漩口镇群益村,103.496550000000000,30.994517999999999,103.487736000000000,30.991166000000000,藏族|羌族
307,四川省阿坝藏族羌族自治州理县米亚罗镇八角碉村,102.817848000000000,31.660111000000001,102.809703000000000,31.656368000000001,藏族|羌族
308,四川省阿坝藏族羌族自治州茂县三龙乡纳呼村,103.562597999999990,31.797252000000000,103.554128000000010,31.793312000000000,藏族|羌族
309,四川省阿坝藏族羌族自治州茂县太平镇牛尾村,103.729720000000000,32.136037000000002,103.720879000000000,32.132544000000003,藏族|羌族
310,四川省阿坝藏族羌族自治州茂县叠溪镇较场村,103.687742000000000,32.047257999999999,103.679128000000010,32.043292999999998,藏族|羌族
311,四川省阿坝藏族羌族自治州茂县富顺镇槽木村,104.033332000000000,31.758002000000001,104.024463999999990,31.753888000000000,藏族|羌族
312,四川省阿坝藏族羌族自治州茂县富顺镇团结村,104.036829999999990,31.790652000000001,104.027962000000000,31.786503000000000,藏族|羌族
313,四川省阿坝藏族羌族自治州茂县白溪乡余家沟村,103.542562000000000,31.849152000000000,103.533961000000010,31.845378000000000,藏族|羌族
314,四川省阿坝藏族羌族自治州茂县黑虎乡耕读百吉村,103.663782000000000,31.743348000000001,103.655180000000000,31.739557999999999,藏族|羌族
315,四川省阿坝藏族羌族自治州茂县黑虎乡小河坝村,103.675800000000000,31.746959000000000,103.667216000000000,31.742999999999999,藏族|羌族
316,四川省阿坝藏族羌族自治州九寨沟县马家乡苗州村,104.124651000000000,33.117347000000002,104.115446000000010,33.113328000000003,藏族|羌族
317,四川省阿坝藏族羌族自治州九寨沟县草地乡下草地村,104.381061000000000,33.022219000000000,104.371825000000000,33.018006000000000,藏族|羌族
318,四川省阿坝藏族羌族自治州小金县木坡乡登春村,102.442971000000000,31.248588999999999,102.434619000000000,31.244921999999999,藏族|羌族
319,四川省阿坝藏族羌族自治州黑水县沙石多乡杨柳秋村,102.813366000000000,32.106178999999997,102.805156999999990,32.102581000000001,藏族|羌族
320,四川省阿坝藏族羌族自治州黑水县沙石多乡昌德村,102.881299000000000,32.134217000000000,102.873191000000010,32.130771000000003,藏族|羌族
321,四川省阿坝藏族羌族自治州黑水县沙石多乡羊茸村,102.863731000000000,32.115797000000001,102.855682000000000,32.112051999999998,藏族|羌族
322,四川省阿坝藏族羌族自治州黑水县沙石多乡甲足村,102.927066999999990,32.136046999999998,102.918914000000000,32.132677999999999,藏族|羌族
323,四川省阿坝藏族羌族自治州黑水县芦花镇铁别村,103.081998000000000,32.083289000000001,103.073420000000000,32.079095000000002,藏族|羌族
324,四川省阿坝藏族羌族自治州阿坝县各莫乡俄休村,101.619795000000000,32.995868000000002,101.611710000000000,32.992094999999999,藏族|羌族
325,四川省阿坝藏族羌族自治州阿坝县哇尔玛乡铁穷村,101.736919000000000,32.921939999999999,101.728602000000000,32.918078999999999,藏族|羌族
326,四川省阿坝藏族羌族自治州若尔盖县冻列乡然多村,103.126991000000000,34.102016999999996,103.118145000000000,34.097591999999999,藏族|羌族
327,四川省阿坝藏族羌族自治州红原县壤口乡壤口村,102.502324000000000,32.216329000000002,102.494232000000000,32.212426999999998,藏族|羌族
328,四川省甘孜藏族自治州丹巴县中路乡基卡依村,101.933138000000000,30.893841999999999,101.925072000000000,30.890739000000000,藏族
329,四川省甘孜藏族自治州丹巴县中路乡克格依村,101.934634000000000,30.896301999999999,101.926565000000000,30.893210000000000,藏族
330,四川省甘孜藏族自治州丹巴县巴旺乡小巴旺村,101.883743000000000,30.955423000000000,101.875845000000000,30.951756000000000,藏族
331,四川省甘孜藏族自治州丹巴县革什扎镇三道桥村,101.722188000000000,30.966505000000002,101.713910000000000,30.963190000000001,藏族
332,四川省甘孜藏族自治州丹巴县聂呷乡拖瓦村,101.873791000000000,30.945914999999999,101.865865000000000,30.942305999999999,藏族
333,四川省甘孜藏族自治州石渠县洛须镇龙溪卡村,98.016938999999994,32.465868999999998,98.009966000000006,32.462224999999997,藏族
334,四川省甘孜藏族自治州白玉县赠科乡下比沙村,99.338294000000005,31.510594000000001,99.330616000000006,31.506732000000000,藏族
335,四川省甘孜藏族自治州乡城县然乌乡克麦村,99.900772000000003,28.717908999999999,99.893202000000002,28.715737000000001,藏族
336,四川省甘孜藏族自治州乡城县热打乡热打村,99.650852999999998,29.106292000000000,99.643298999999999,29.103718000000001,藏族
337,四川省甘孜藏族自治州乡城县青德镇仲德村,99.839562000000001,28.850697000000000,99.832068000000007,28.847791999999998,藏族
338,四川省凉山彝族自治州西昌市大箐乡白庙村,102.324976000000010,27.782685000000001,102.316861000000000,27.780201999999999,彝族
339,四川省凉山彝族自治州西昌市裕隆回族乡兴富村,102.154903000000000,27.866682000000001,102.146725000000000,27.863949999999999,回族|彝族
340,四川省凉山彝族自治州德昌县黑龙潭镇大湾村,102.022173000000000,27.376991000000000,102.014128000000000,27.374150000000000,彝族
341,四川省凉山彝族自治州德昌县铁炉乡菠萝村,102.050194000000000,27.549019999999999,102.041973000000000,27.546505000000000,彝族
342,四川省凉山彝族自治州德昌县金沙傈僳族乡观音堂村,102.319062000000000,27.262974000000000,102.310946000000000,27.260584000000001,彝族|傈僳族
343,四川省凉山彝族自治州会理县小黑箐镇白沙村,102.067222000000000,26.624528999999999,102.058988000000000,26.622236000000001,彝族
344,四川省凉山彝族自治州会理县小黑箐镇岔河村,102.120959000000000,26.561738999999999,102.112835000000000,26.558803000000001,彝族
345,四川省凉山彝族自治州会理县小黑箐镇茨竹村,102.048895000000000,26.649874000000001,102.040705000000000,26.647492000000000,彝族
346,四川省凉山彝族自治州会理县绿水镇松坪村,102.001457000000000,26.208144999999998,101.993525000000010,26.205259999999999,彝族
347,四川省凉山彝族自治州会东县野租乡柏栎箐村,102.704230999999990,26.518820999999999,102.696315000000000,26.516276000000001,彝族
348,四川省凉山彝族自治州越西县南箐镇河坎村,102.462545000000010,28.527272000000000,102.454449000000000,28.524488000000002,彝族
349,四川省凉山彝族自治州越西县保安藏族乡梨花村,102.565870000000000,28.799495000000000,102.557973000000000,28.797090000000001,藏族|彝族
350,四川省凉山彝族自治州越西县大瑞镇林沟村,102.538894000000000,28.571149999999999,102.530900000000000,28.568935000000000,彝族
351,四川省凉山彝族自治州越西县大花乡斯觉村,102.483447000000000,28.613766999999999,102.475436000000000,28.610783999999999,彝族
352,四川省凉山彝族自治州越西县乐青地乡瓦曲村,102.633556000000000,28.469687000000000,102.625701000000010,28.467248999999999,彝族
353,四川省凉山彝族自治州木里藏族自治县东朗乡亚英村,100.609334000000000,28.830639000000001,100.601724000000000,28.828285999999999,藏族|彝族
354,四川省凉山彝族自治州木里藏族自治县水洛乡两保村,100.632185000000010,28.236032999999999,100.624536000000010,28.233986999999999,藏族|彝族
356,贵州省贵阳市清镇市王庄布依族苗族乡小坡村,106.354777000000000,26.760527000000000,106.344511999999990,26.757874000000001,苗族|布依族
357,贵州省贵阳市修文县六屯镇大木村,106.875069999999990,26.938292000000001,106.864745000000000,26.936212000000001,苗族|布依族
358,贵州省六盘水市钟山区大湾镇海嘎村,104.691059000000000,26.831973000000001,104.682084000000000,26.829778000000001,汉族|彝族
359,贵州省六盘水市水城县花戛乡天门村,104.979542000000000,26.122838000000002,104.970367000000000,26.120187999999999,布依族
360,贵州省六盘水市水城县龙场乡娱乐村,104.790951000000010,26.146284999999999,104.781936000000000,26.143556000000000,汉族|苗族|彝族|白族
